식품명,에너지(kcal)
애호박볶음,59
양파볶음,56
어묵볶음,197
어묵볶음_채소,152
오징어볶음,128
유산슬,86
잔멸치볶음_견과류,388
잔멸치볶음_꽈리고추,293
잔멸치볶음_풋고추,256
잔멸치볶음_홍고추_풋고추,228
잡채,146
잡채_어묵,148
잡채_콩나물,67
죽순볶음_소고기,120
팔보채,90
풋고추볶음,70
햄볶음_채소,183
감자조림,114
고등어조림,141
꽁치조림,244
닭볶음탕,111
닭조림,197
닭조림_고추장,152
두부조림,143
땅콩조림,483
멸치조림,318
무조림,48
미트볼조림,221
버섯조림,60
병어조림,112
삼치조림,125
양미리조림,65
어묵조림,159
연근조림,174
오징어조림,137
오징어채조림,240
우엉조림,188
장조림_달걀,138
장조림_메추리알,203
장조림_소고기,69
장조림_소고기_메추리알,157
쥐포조림,276
코다리조림,86
콩조림(콩자반),281
감자튀김,312
김튀김,522
다시마튀각,462
닭다리튀김_간장,323
닭튀김_날개,257
떡강정,249
미역튀각,443
탕수육_새우,116
가지나물,36
고구마줄기나물,83
고사리나물무침,90
고춧잎나물무침,88
깻잎나물,78
냉이나물,111
도라지나물무침,130
돌나물무침,69
머위대나물무침,58
무나물무침,21
방풍나물무침,76
배추나물,61
비름나물무침,73
숙주나물,35
시금치나물,69
시래기나물무침,114
씀바귀나물무침,97
열무나물,82
열무나물_된장,68
유채나물,96
참나물,60
취나물_된장,44
취나물_취나물(마른것),89
콩나물무침,69
콩나물무침_고춧가루,93
토란대나물무침,68
호박오가리나물무침,201
가죽나물무침,76
겉절이_배추,55
겉절이_상추,61
겉절이_열무,58
겉절이_치커리,56
골뱅이무침_소면,109
굴무침,77
김무침,259
낙지무침,77
냉채_닭고기,90
다시마무침,48
달래무침,63
도라지생채,77
두릅무침_초고추장,67
마늘쫑무침,106
무말랭이무침,121
무생채,49
무생채_굴,50
묵무침_도토리묵,74
물회_오징어,49
미나리무침,46
미역초무침,35
민들레잎무침,81
버섯무침_느타리버섯,59
부추무침,92
부추무침_양파,44
북어채무침,188
샐러드_감자,126
샐러드_단호박,162
샐러드_닭가슴살,135
샐러드_새싹,74
샐러드_양배추,150
샐러드_양상추,126
샐러드_옥수수,166
샐러드_참치,151
샐러드_채소,145
양장피,133
오이무침_부추,31
오이생채,69
오이지무침,52
오징어무침_채소,62
오징어채무침,258
톳나물무침,75
파래무침,49
파무침,71
풋고추된장무침_풋고추,124
풋마늘무침,71
피조개무침,52
해초무침,39
회무침,82
회무침_가오리,81
고들빼기김치,71
깍두기,33
깻잎김치,62
나박김치,10
동치미,14
물김치_돌나물,5
보쌈김치,30
부추김치,47
얼갈이배추김치,63
오이김치,38
가자미식해,134
